"Country","Operator","Band","Start","End","Start","End","Total","FDD U/L","FDD D/L","TDD","Operator Total","% of Band"
"Ghana","MTN",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Ghana","Vodafone",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"Ghana","Tigo",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"Ghana","Airtel",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Ghana","Glo",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Kenya","Safaricom",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Kenya","Airtel",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Kenya","Telkom Kenya",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Namibia","MTC",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"Namibia","TN",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Namibia","Paratus",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,20 MHz,20 MHz,,40 MHz,33%
"Nigeria","Etilisat",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Nigeria","Glo",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Nigeria","MTN",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Nigeria","Airtel",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Senegal","Orange (Sonatel)",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Senegal","Tigo (Sentel)",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,5 MHz,5 MHz,,10 MHz,8%
"Senegal","Expresso (Sudatel)",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"South Africa","Vodacom",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"South Africa","MTN",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"South Africa","CellC",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"South Africa","Telkom",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,15 MHz,15 MHz,,30 MHz,25%
"Uganda","UTL",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,5 MHz,5 MHz,,10 MHz,8%
"Uganda","Warid",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Uganda","Airtel",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Uganda","Orange",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Uganda","MTN",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,10 MHz,10 MHz,,20 MHz,17%
"Uganda","K2",2100MHz,1920 MHz,1980 MHz,2110 MHz,2170 MHz,120 MHz,5 MHz,5 MHz,,10 MHz,8%
"Nigeria","Bitflux Comms",2300MHz,2300 MHz,2400 MHz,,,100 MHz,,,30 MHz,30 MHz,30%
"Senegal","CSU SA (Opérateur de Service Universel)",2300MHz,2300 MHz,2400 MHz,,,100 MHz,,,10 MHz,10 MHz,10%
"South Africa","Telkom",2300MHz,2300 MHz,2400 MHz,,,100 MHz,,,60 MHz,60 MHz,60%
"Ghana","Gold Key Prop. Ltd ",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,30 MHz,30 MHz,15%
"Ghana","Broadband Home",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,30 MHz,30 MHz,15%
"Namibia","TN",2600MHz,2496 MHz,2690 MHz,,,194 MHz,52 MHz,52 MHz,,104 MHz,54%
"Namibia","Paratus",2600MHz,2496 MHz,2690 MHz,,,194 MHz,20 MHz,20 MHz,,40 MHz,21%
"Senegal","Excaf Telecom",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,96 MHz,96 MHz,49%
"Senegal","Delta Net",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,96 MHz,96 MHz,49%
"South Africa","Sentech",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,50 MHz,50 MHz,26%
"South Africa","WBS(iBurst)",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,15 MHz,15 MHz,8%
"Uganda","Infocom",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,30 MHz,30 MHz,15%
"Uganda","MTN",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,30 MHz,30 MHz,15%
"Uganda","UTL",2600MHz,2496 MHz,2690 MHz,,,194 MHz,,,30 MHz,30 MHz,15%
"Kenya","Telkom Kenya",3500MHz,3400 MHz,3600 MHz,,,200 MHz,11 MHz,11 MHz,,22 MHz,11%
"Kenya","KDN",3500MHz,3400 MHz,3600 MHz,,,200 MHz,28 MHz,28 MHz,,56 MHz,28%
"Kenya","Open Systems Tech.",3500MHz,3400 MHz,3600 MHz,,,200 MHz,7 MHz,7 MHz,,14 MHz,7%
"Kenya","Airwaves Comms",3500MHz,3400 MHz,3600 MHz,,,200 MHz,7 MHz,7 MHz,,14 MHz,7%
"Kenya","Comtec Group",3500MHz,3400 MHz,3600 MHz,,,200 MHz,7 MHz,7 MHz,,14 MHz,7%
"Kenya","IGO Wireless",3500MHz,3400 MHz,3600 MHz,,,200 MHz,7 MHz,7 MHz,,14 MHz,7%
"Kenya","SimbaNET",3500MHz,3400 MHz,3600 MHz,,,200 MHz,7 MHz,7 MHz,,14 MHz,7%
"Kenya","PacketStream Data",3500MHz,3400 MHz,3600 MHz,,,200 MHz,8 MHz,8 MHz,,16 MHz,8%
"Kenya","UUNet Comms",3500MHz,3400 MHz,3600 MHz,,,200 MHz,7 MHz,7 MHz,,14 MHz,7%
"Namibia","TN",3500MHz,3400 MHz,3600 MHz,,,200 MHz,52 MHz,52 MHz,,104 MHz,52%
"Namibia","Paratus",3500MHz,3400 MHz,3600 MHz,,,200 MHz,20 MHz,20 MHz,,40 MHz,20%
"Nigeria","MTN",3500MHz,3400 MHz,3600 MHz,,,200 MHz,,,30 MHz,30 MHz,15%
"Senegal","Government (ADIE)",3500MHz,3400 MHz,3600 MHz,,,200 MHz,,,100 MHz,100 MHz,50%
"Uganda","MTN",3500MHz,3400 MHz,3600 MHz,,,200 MHz,31.5 MHz,31.5 MHz,,63 MHz,32%
